[2020-11-05 22:55:14] - ### HONBAN: FOLDS:5, EPOCHS:80 ###
[2020-11-06 08:13:05] - model_type:4l, oof:0.0165269, train_flag:train
[2020-11-06 08:16:15] - model_type:4l, oof:0.0167199, train_flag:train
[2020-11-06 08:18:49] - model_type:4l, oof:0.0164738, train_flag:train
[2020-11-06 08:22:13] - model_type:4l, oof:0.0165233, train_flag:train
[2020-11-06 08:25:48] - model_type:4l, oof:0.0164885, train_flag:train
[2020-11-06 08:29:28] - model_type:4l, oof:0.0165289, train_flag:train
[2020-11-06 08:33:07] - model_type:4l, oof:0.0165337, train_flag:train
[2020-11-06 08:36:34] - model_type:4l, oof:0.0164938, train_flag:train
[2020-11-06 08:39:26] - model_type:4l, oof:0.0164137, train_flag:train
[2020-11-06 08:42:04] - model_type:4l, oof:0.0164159, train_flag:train
[2020-11-06 08:45:17] - model_type:4l, oof:0.0163853, train_flag:train
[2020-11-06 08:48:11] - model_type:4l, oof:0.0163984, train_flag:train
[2020-11-06 08:50:54] - model_type:4l, oof:0.016411, train_flag:train
[2020-11-06 08:53:46] - model_type:4l, oof:0.0164204, train_flag:train
[2020-11-06 08:56:57] - model_type:4l, oof:0.0163709, train_flag:train
[2020-11-06 08:59:49] - model_type:4l, oof:0.0164131, train_flag:train
[2020-11-06 09:02:53] - model_type:4l, oof:0.0163823, train_flag:train
[2020-11-06 09:11:25] - model_type:4l, oof:0.0175857, train_flag:train
[2020-11-06 09:18:59] - model_type:4l, oof:0.016414, train_flag:train
[2020-11-06 09:22:00] - model_type:4l, oof:0.0164038, train_flag:train
[2020-11-06 09:24:41] - model_type:4l, oof:0.0164248, train_flag:train
[2020-11-06 09:27:16] - model_type:rs, oof:0.0167092, train_flag:train
[2020-11-06 09:30:41] - model_type:4l, oof:0.0165632, train_flag:train
[2020-11-06 09:41:27] - model_type:lr, oof:0.0263734, train_flag:train
[2020-11-06 09:43:52] - ### HONBAN: FOLDS:5, EPOCHS:80 ###
[2020-11-06 09:47:58] - model_type:2l, oof:0.0203774, train_flag:train
[2020-11-06 09:52:29] - model_type:3l, oof:0.0197953, train_flag:train
[2020-11-06 09:55:17] - model_type:4l, oof:0.0202447, train_flag:train
[2020-11-06 10:00:03] - model_type:5l, oof:0.0203805, train_flag:train
[2020-11-06 10:01:49] - model_type:rs, oof:0.0167291, train_flag:train
[2020-11-06 10:06:07] - model_type:stack_tabnet, oof:0.0193783, train_flag:train
[2020-11-06 10:08:48] - model_type:tabnet_class, oof:0.0192479, train_flag:train
[2020-11-06 10:08:51] - model_type:2l-3l-4l-5l-rs-stack_tabnet-tabnet_class, oof:0.0222129, train_flag:train
[2020-11-06 10:11:57] - ### HONBAN: FOLDS:5, EPOCHS:80 ###
[2020-11-06 10:15:15] - model_type:4l, oof:0.016403, train_flag:train
[2020-11-06 11:25:31] - model_type:4l, oof:0.0163833, train_flag:train
[2020-11-06 11:32:48] - model_type:4l, oof:0.0163537, train_flag:train
[2020-11-06 11:43:31] - model_type:2l, oof:0.0162882, train_flag:train
[2020-11-06 11:47:38] - model_type:3l, oof:0.0163853, train_flag:train
[2020-11-06 11:50:26] - model_type:4l, oof:0.0163238, train_flag:train
[2020-11-06 11:55:28] - model_type:5l, oof:0.0163599, train_flag:train
[2020-11-06 11:57:23] - model_type:rs, oof:0.0167596, train_flag:train
[2020-11-06 12:01:31] - model_type:3l_v2, oof:0.0164691, train_flag:train
[2020-11-06 12:04:32] - model_type:stack_tabnet, oof:0.0175018, train_flag:train
[2020-11-06 12:06:35] - model_type:tabnet_class, oof:0.0172945, train_flag:train
[2020-11-06 12:06:38] - model_type:2l-3l-4l-5l-rs-3l_v2-stack_tabnet-tabnet_class, oof:0.020213, train_flag:train
[2020-11-06 12:22:25] - model_type:stack_tabnet, oof:0.0169371, train_flag:train
[2020-11-06 12:25:54] - model_type:4l, oof:0.0163121, train_flag:train
[2020-11-06 12:28:26] - model_type:2l, oof:0.0162936, train_flag:train
[2020-11-06 12:31:41] - model_type:3l, oof:0.0164798, train_flag:train
[2020-11-06 12:34:13] - model_type:4l, oof:0.0178934, train_flag:train
[2020-11-06 12:38:32] - model_type:5l, oof:0.0183181, train_flag:train
[2020-11-06 12:40:42] - model_type:rs, oof:0.0166837, train_flag:train
[2020-11-06 12:44:28] - model_type:3l_v2, oof:0.0165591, train_flag:train
[2020-11-06 12:44:31] - model_type:2l-3l-4l-5l-rs-3l_v2, oof:0.0195798, train_flag:train
[2020-11-06 12:47:06] - model_type:2l, oof:0.016309, train_flag:train
[2020-11-06 12:49:58] - model_type:3l, oof:0.0165523, train_flag:train
[2020-11-06 12:52:24] - model_type:4l, oof:0.0165061, train_flag:train
[2020-11-06 12:56:44] - model_type:5l, oof:0.0164678, train_flag:train
[2020-11-06 12:58:33] - model_type:rs, oof:0.0167649, train_flag:train
[2020-11-06 13:02:12] - model_type:3l_v2, oof:0.0165326, train_flag:train
[2020-11-06 13:02:15] - model_type:2l-3l-4l-5l-rs-3l_v2, oof:0.0194456, train_flag:train
[2020-11-06 13:04:48] - model_type:2l, oof:0.0163092, train_flag:train
[2020-11-06 13:08:08] - model_type:3l, oof:0.0164412, train_flag:train
[2020-11-06 13:11:02] - model_type:4l, oof:0.0165228, train_flag:train
[2020-11-06 13:16:17] - model_type:5l, oof:0.0165096, train_flag:train
[2020-11-06 13:18:18] - model_type:rs, oof:0.0166166, train_flag:train
[2020-11-06 13:21:41] - model_type:3l_v2, oof:0.016581, train_flag:train
[2020-11-06 13:21:44] - model_type:2l-3l-4l-5l-rs-3l_v2, oof:0.0194162, train_flag:train
[2020-11-06 13:29:21] - model_type:2l, oof:0.0171018, train_flag:train
[2020-11-06 13:38:50] - model_type:3l, oof:0.0166817, train_flag:train
[2020-11-06 13:44:07] - model_type:4l, oof:0.0167173, train_flag:train
[2020-11-06 13:53:20] - model_type:5l, oof:0.0167891, train_flag:train
[2020-11-06 13:57:06] - model_type:rs, oof:0.0172148, train_flag:train
[2020-11-06 14:04:20] - model_type:3l_v2, oof:0.0166887, train_flag:train
[2020-11-06 14:04:23] - model_type:2l-3l-4l-5l-rs-3l_v2, oof:0.0193497, train_flag:train
[2020-11-06 14:12:02] - model_type:2l, oof:0.6189152, train_flag:train
[2020-11-06 14:18:39] - model_type:3l, oof:0.5011192, train_flag:train
[2020-11-06 14:24:47] - model_type:4l, oof:0.0333502, train_flag:train
[2020-11-06 14:35:46] - model_type:5l, oof:0.0421744, train_flag:train
[2020-11-06 14:42:47] - model_type:rs, oof:0.0678956, train_flag:train
[2020-11-06 14:55:59] - model_type:3l_v2, oof:0.0174277, train_flag:train
[2020-11-06 14:56:02] - model_type:2l-3l-4l-5l-rs-3l_v2, oof:0.0381998, train_flag:train
