#	file	col	type	count	unique	null	min	max	samples
85	train_features.csv	g-81	float64	23814	14105	0	-7.361	7.841	0.0(19)/-1.037(13)/-0.3372(12)/1.116(11)/-1.052(11)/1.012(10)/1.052(10)/1.05(10)/1.024(10)/-1.006(9)
86	train_features.csv	g-82	float64	23814	13897	0	-10.0	5.778	1.044(13)/1.153(12)/1.099(12)/1.241(12)/1.258(12)/1.039(12)/1.007(12)/1.112(11)/1.228(10)/1.052(10)
87	train_features.csv	g-83	float64	23814	14560	0	-10.0	10.0	-1.196(9)/-1.031(9)/-1.006(9)/-1.089(8)/-1.062(8)/-1.03(8)/-1.112(8)/-1.141(8)/1.248(8)/1.179(8)
88	train_features.csv	g-84	float64	23814	14173	0	-5.03	10.0	0.0(27)/1.223(11)/1.27(11)/-0.3372(11)/1.015(10)/-1.06(10)/-1.012(10)/1.079(10)/1.208(9)/-1.229(9)
89	train_features.csv	g-85	float64	23814	13417	0	-10.0	5.708	0.0(61)/-0.3372(20)/0.3372(15)/1.015(12)/1.062(11)/-0.0452(11)/0.2792(11)/-0.0509(11)/0.1116(10)/0.2612(10)
90	train_features.csv	g-86	float64	23814	14439	0	-9.221	10.0	10.0(56)/0.0(15)/-1.056(11)/-1.001(10)/1.019(9)/0.5738(9)/-1.027(9)/-1.042(9)/-0.3372(9)/1.129(9)
91	train_features.csv	g-87	float64	23814	13901	0	-6.93	5.838	0.0(27)/-1.031(14)/-1.025(12)/-0.3372(12)/1.025(9)/-1.006(9)/-1.068(9)/-0.0232(9)/-1.038(9)/-1.245(9)
92	train_features.csv	g-88	float64	23814	13690	0	-8.732	10.0	0.0(34)/0.0809(11)/0.3372(11)/1.053(10)/1.046(10)/-1.128(10)/1.062(9)/1.026(9)/-1.044(9)/-1.091(9)
93	train_features.csv	g-89	float64	23814	14061	0	-10.0	7.476	0.0(14)/0.0129(10)/1.088(9)/1.062(9)/1.05(9)/1.217(9)/-1.127(8)/-1.325(8)/1.005(8)/-1.161(8)
94	train_features.csv	g-90	float64	23814	14022	0	-4.925	10.0	0.0(30)/0.3372(15)/-0.2206(10)/-1.143(10)/-1.026(10)/-0.6745(10)/-0.3372(10)/-1.003(9)/-1.037(9)/-1.071(9)
95	train_features.csv	g-91	float64	23814	14736	0	-6.822	10.0	10.0(34)/0.0(16)/-1.006(11)/-1.005(10)/-1.069(10)/-1.03(9)/-1.046(9)/-0.3372(9)/-1.013(9)/-1.096(9)
96	train_features.csv	g-92	float64	23814	14197	0	-8.58	9.894	0.0(16)/-1.014(13)/-0.3372(12)/0.3372(11)/1.053(9)/1.021(9)/-1.013(9)/-1.138(9)/-1.056(9)/-1.299(9)
97	train_features.csv	g-93	float64	23814	14165	0	-7.006	10.0	0.0(14)/1.056(11)/-1.13(11)/1.089(10)/1.033(10)/1.14(10)/1.004(10)/-1.1(9)/-1.009(9)/1.25(9)
98	train_features.csv	g-94	float64	23814	12651	0	-5.963	10.0	0.0(73)/0.3372(14)/-0.1622(11)/-1.066(11)/0.3902(10)/-1.059(10)/-0.3659(10)/-1.058(10)/0.2921(10)/-0.057(10)
99	train_features.csv	g-95	float64	23814	14299	0	-3.905	10.0	-1.13(15)/-1.015(12)/-1.01(12)/-1.001(11)/-1.061(10)/1.166(9)/-1.025(9)/-1.05(9)/-1.123(9)/0.6467(9)
100	train_features.csv	g-96	float64	23814	14227	0	-10.0	4.038	0.0(38)/-10.0(37)/0.3372(16)/-1.188(9)/1.065(9)/1.018(9)/1.217(9)/1.069(8)/-0.3372(8)/0.141(8)
101	train_features.csv	g-97	float64	23814	12522	0	-3.749	10.0	0.0(101)/10.0(50)/-0.3372(29)/-0.6745(18)/-0.2084(12)/-1.067(10)/-0.5153(10)/-0.1271(10)/-0.317(10)/0.2603(10)
102	train_features.csv	g-98	float64	23814	14339	0	-10.0	7.311	-10.0(34)/0.0(20)/-0.3372(12)/1.018(11)/0.3372(11)/1.025(10)/1.036(9)/0.1949(9)/1.247(9)/1.108(8)
103	train_features.csv	g-99	float64	23814	13577	0	-10.0	5.4	0.0(30)/0.3372(11)/-0.6745(10)/-1.095(10)/-1.083(9)/1.036(9)/-1.144(9)/1.23(9)/-1.084(9)/-0.1157(8)
104	train_features.csv	g-100	float64	23814	14700	0	-5.915	10.0	10.0(123)/0.0(15)/-0.3372(11)/-1.108(11)/-1.036(10)/-1.145(9)/0.1397(9)/-1.462(9)/-1.201(9)/0.0544(9)
105	train_features.csv	g-101	float64	23814	14011	0	-10.0	9.692	1.171(11)/1.167(11)/1.047(11)/1.049(10)/1.023(10)/1.226(10)/1.201(9)/1.145(9)/1.001(9)/-1.016(9)
106	train_features.csv	g-102	float64	23814	14563	0	-6.461	10.0	10.0(12)/-1.027(10)/-1.034(10)/-1.023(10)/-1.013(10)/-1.048(9)/-1.075(9)/-1.111(8)/-1.035(8)/-1.185(8)
107	train_features.csv	g-103	float64	23814	14102	0	-10.0	10.0	0.0(26)/1.023(11)/-1.024(11)/-1.017(11)/-0.3372(10)/-1.049(10)/1.111(10)/1.109(10)/-1.088(9)/-1.124(9)
108	train_features.csv	g-104	float64	23814	3110	0	-3.138	10.0	0.0(4759)/0.3372(625)/-0.3372(605)/0.1585(86)/-0.1889(77)/0.1227(69)/-0.0945(68)/0.2222(66)/-0.1649(64)/0.1794(62)
109	train_features.csv	g-105	float64	23814	14182	0	-7.907	10.0	-1.04(12)/0.0(11)/-0.3372(11)/-1.051(10)/-1.02(10)/-1.067(10)/1.051(9)/-1.229(9)/1.211(9)/-1.151(9)
110	train_features.csv	g-106	float64	23814	14436	0	-4.927	10.0	10.0(34)/0.0(17)/-0.6745(12)/-1.121(11)/0.3372(11)/-1.037(9)/1.07(9)/-1.09(9)/1.086(9)/-1.178(9)
111	train_features.csv	g-107	float64	23814	14604	0	-10.0	10.0	0.0(22)/1.22(9)/0.203(9)/-1.197(8)/1.138(8)/1.011(8)/1.067(8)/-0.7012(8)/1.012(8)/-1.019(8)
112	train_features.csv	g-108	float64	23814	14050	0	-8.781	8.018	0.0(23)/0.3372(14)/1.049(12)/-1.102(11)/-1.038(11)/-1.006(11)/-1.051(10)/-1.147(10)/-1.126(10)/-1.238(10)
113	train_features.csv	g-109	float64	23814	14137	0	-9.193	10.0	-1.018(14)/-1.052(11)/-1.128(10)/1.05(10)/-1.12(9)/-1.112(9)/1.035(9)/1.006(9)/-1.041(9)/1.029(8)
114	train_features.csv	g-110	float64	23814	10990	0	-10.0	4.489	0.0(383)/0.3372(155)/-0.3372(89)/0.3217(37)/0.2988(36)/0.659(29)/-0.4509(28)/-0.4546(23)/-0.1174(23)/0.7571(22)
115	train_features.csv	g-111	float64	23814	12043	0	-3.317	10.0	0.0(174)/-0.3372(30)/0.3372(24)/-0.0351(18)/-0.1349(17)/-0.1342(16)/0.3268(14)/0.145(13)/-0.2975(13)/-0.1366(13)
116	train_features.csv	g-112	float64	23814	14034	0	-10.0	5.609	0.0(23)/-0.3372(13)/0.3372(13)/1.012(13)/1.132(9)/1.014(9)/0.4924(9)/1.113(8)/1.006(8)/1.053(8)
117	train_features.csv	g-113	float64	23814	14691	0	-10.0	3.926	-10.0(152)/-1.079(11)/-1.011(11)/0.0(11)/1.04(9)/1.02(8)/1.025(8)/1.001(8)/1.008(7)/-1.107(7)
118	train_features.csv	g-114	float64	23814	13794	0	-8.774	10.0	0.0(37)/-0.3372(18)/0.3372(12)/-1.047(12)/5.0(12)/1.148(11)/1.1(9)/-1.086(9)/1.024(9)/0.0321(8)
119	train_features.csv	g-115	float64	23814	14086	0	-10.0	4.952	0.0(25)/1.015(12)/0.3372(10)/1.028(9)/-0.3625(9)/1.105(9)/-1.11(9)/1.08(9)/-1.118(9)/1.005(9)
120	train_features.csv	g-116	float64	23814	14220	0	-6.753	10.0	0.0(19)/1.008(12)/1.221(11)/-0.3372(11)/-1.121(10)/1.115(10)/-1.087(10)/0.3372(9)/-1.073(9)/-1.019(9)
121	train_features.csv	g-117	float64	23814	14197	0	-7.481	10.0	0.0(27)/-1.043(12)/-0.6745(11)/-1.239(11)/1.044(11)/0.3372(10)/1.08(9)/-1.053(9)/-1.064(9)/1.083(9)
122	train_features.csv	g-118	float64	23814	14134	0	-5.411	9.91	0.0(17)/1.042(12)/1.01(11)/-1.066(11)/-1.036(10)/-1.086(10)/-1.043(9)/1.015(9)/-1.142(9)/-1.148(9)
123	train_features.csv	g-119	float64	23814	13897	0	-7.284	7.908	0.0(22)/1.113(11)/-0.3372(11)/1.016(10)/-0.179(10)/1.015(9)/1.156(9)/1.127(9)/1.006(8)/1.323(8)
124	train_features.csv	g-120	float64	23814	14125	0	-8.56	7.817	0.0(13)/1.125(10)/-1.004(10)/1.013(10)/1.072(9)/1.08(9)/-1.092(9)/1.011(9)/-1.146(9)/1.094(9)
125	train_features.csv	g-121	float64	23814	14499	0	-10.0	3.78	-10.0(32)/0.0(22)/1.016(12)/1.021(10)/1.039(9)/1.142(9)/1.1(9)/1.036(9)/-0.0328(8)/0.3372(8)
126	train_features.csv	g-122	float64	23814	13257	0	-7.89	10.0	0.0(51)/0.3372(12)/0.0152(11)/-1.093(11)/-0.0469(10)/-1.041(10)/-0.6745(10)/-1.013(10)/-1.001(10)/-0.3372(9)
